"Time","Accel_x","Accel_y","Accel_z","Gyro_x","Gyro_y","Gyro_z","Mag_x","Mag_y","Mag_z","Light","Compass"
"0","-0.12210429","2.5558102","10.607511",,,,,,,,
"7","-0.58897364","2.717419","8.918402",,,,,,,,
"12","-0.58897364","2.717419","8.918402",,,,,,,,
"17","-0.58897364","2.717419","8.918402",,,,,,,,
"22","-0.58897364","2.717419","8.918402",,,,,,,,
"27","-0.58897364","2.717419","8.918402",,,,,,,,
"31","-0.58897364","2.717419","8.918402",,,,,,,,
"31",,,,,,,,,,,"191.99908007962532"
"39","-0.760159","2.7114334","8.094796",,,,,,,,
"39",,,,,,,,,,,"190.18041926970434"
"43","-0.90021986","2.6862943","7.7440453",,,,,,,,
"50","-1.079785","2.6683378","7.5345526",,,,,,,,
"50",,,,,,,,,,,"190.15498364523523"
"53","-1.2413936","2.6779146","7.418434",,,,,,,,
"58","-1.3563153","2.6671407","7.404069",,,,,,,,
"58",,,,,,,,,,,"189.23891867375312"
"64","-1.4341269","2.6001031","7.445967",,,,,,,,
"69","-1.4676456","2.5582044","7.5106106",,,,,,,,
"69",,,,,,,,,,,"189.16128674364674"
"73","-1.4796166","2.421735","7.6027875",,,,,,,,
"78","-1.2258313","2.2900538","7.7129207",,,,,,,,
"78",,,,,,,,,,,"188.36980442262566"
"83","-0.8762778","2.1499932","7.7488337",,,,,,,,
"89","-0.47165772","2.0266917","8.094796",,,,,,,,
"89",,,,,,,,,,,"188.183367579041"
"93","-0.047884032","2.0099323","8.602366",,,,,,,,
"100","0.30765492","2.0135236","9.240421",,,,,,,,
"100",,,,,,,,,,,"187.81154574100384"
"103","0.6488287","2.079364","9.970653",,,,,,,,
"108","0.9804256","2.147599","10.512939",,,,,,,,
"108",,,,"-1.0482203","-1.627724","0.098004326",,,,,
"110",,,,,,,,,,,"187.54679394839582"
"110","0.9804256","2.147599","10.512939",,,,,,,,
"113","1.3204023","2.1308396","10.845734",,,,,,,,
"113",,,,"-1.0535465","-1.5169365","0.08628642",,,,,
"119","1.5825673","2.0829554","11.209652",,,,,,,,
"118",,,,"-1.0567423","-1.4189322","0.066046394",,,,,
"119",,,,,,,,,,,"186.8417818222671"
"123","1.8602947","2.0614076","11.500547",,,,,,,,
"122",,,,"-1.0482203","-1.320928","0.037284255",,,,,
"128","2.0649989","2.0649989","11.71842",,,,,,,,
"127",,,,"-1.026915","-1.216532","-0.0053263223",,,,,
"131",,,,,,,,,,,"186.64049614742683"
"131","2.0649989","2.0649989","11.71842",,,,,,,,
"133","2.1787236","2.0566192","11.822568",,,,,,,,
"132",,,,"-0.9960223","-1.1100056","-0.060720075",,,,,
"140","2.1631613","1.9309237","11.823765",,,,,,,,
"136",,,,"-0.9576728","-1.0098706","-0.12783173",,,,,
"140",,,,,,,,,,,"186.2495771004703"
"143","2.0159178","1.7417817","11.917139",,,,,,,,
"141",,,,"-0.90973586","-0.91825795","-0.18961707",,,,,
"149","1.7489643","1.553837","11.96622",,,,,,,,
"146",,,,"-0.850081","-0.8245147","-0.23222765",,,,,
"149",,,,,,,,,,,"186.22788441966634"
"153","1.4257472","1.4209588","12.026075",,,,,,,,
"151",,,,"-0.77125144","-0.721184","-0.24820662",,,,,
"159","1.0785879","1.2880806","11.956643",,,,,,,,
"155",,,,"-0.6764429","-0.6199839","-0.23861924",,,,,
"159",,,,,,,,,,,"186.31195038797088"
"163","0.81043726","1.2270284","11.839328",,,,,,,,
"160",,,,"-0.572047","-0.5294364","-0.20772657",,,,,
"168","0.5638345","1.1719618","11.549629",,,,,,,,
"165",,,,"-0.45806372","-0.45060685","-0.16298546",,,,,
"170",,,,,,,,,,,"186.34129288064526"
"170","0.5638345","1.1719618","11.549629",,,,,,,,
"169",,,,"-0.45806372","-0.45060685","-0.16298546",,,,,
"173","0.46686932","1.1587936","11.080365",,,,,,,,
"179","0.37708676","1.1911154","10.546458",,,,,,,,
"174",,,,"-0.22583607","-0.4133226","-0.05539375",,,,,
"179",,,,,,,,,,,"186.44654609575514"
