"Time","Accel_x","Accel_y","Accel_z","Gyro_x","Gyro_y","Gyro_z","Mag_x","Mag_y","Mag_z","Light","Compass"
"0",,,,,,,,,,"239.0",
"1193",,,,,,,,,,,"3.4765756790466185"
"1198",,,,"0.0","0.0","0.0",,,,,
"1198",,,,,,,,,,,"3.4589885822640554"
"1202","-0.16280572","0.5363012","9.385271",,,,,,,,
"1203",,,,"0.0","0.0","0.0",,,,,
"1203",,,,,,,,,,,"3.4413054359462762"
"1208",,,,"0.0","0.0","0.0",,,,,
"1209",,,,,,,,,,,"3.427223720311872"
"1213","-0.009576807","0.7469909","9.203311",,,,,,,,
"1214",,,,"0.0","0.0","0.0",,,,,
"1214",,,,,,,,,,,"3.413347764126172"
"1215",,,,,,,"-0.625","16.6875","-13.9375",,
"1217",,,,"0.0","0.0","0.0",,,,,
"1218",,,,,,,,,,,"3.3956652581386493"
"1223","0.25857377","0.49799395","9.193734",,,,,,,,
"1223",,,,"0.0","0.0","0.0",,,,,
"1224",,,,,,,,,,,"3.3815835425041882"
"1227",,,,"0.02450183","-0.07350549","0.122509144",,,,,
"1228",,,,,,,,,,,"3.331908003557487"
"1233","-0.41180268","1.2737153","8.781932",,,,,,,,
"1233",,,,"-0.116117366","0.03835069","0.035154797",,,,,
"1235",,,,,,,,,,,"3.3069923272389588"
"1236",,,,,,,"-7.0625","13.5625","0.375",,
"1237",,,,"-0.14061919","0.01065297","0.03835069",,,,,
"1238",,,,,,,,,,,"3.2819253195415854"
"1242","-0.2777274","1.3790601","8.599973",,,,,,,,
"1243",,,,"-0.17790459","-0.04793836","0.035154797",,,,,
"1244",,,,,,,,,,,"3.256121932074336"
"1247",,,,"-0.21305938","-0.09587672","0.0042611877",,,,,
"1248",,,,,,,,,,,"3.243855125768391"
"1253","-0.12449849","0.6799533","8.90643",,,,,,,,
"1254",,,,,,,"-13.625","9.875","14.3125",,
"1255",,,,"-0.23436533","-0.13209683","-0.035154797",,,,,
"1256",,,,,,,,,,,"3.241720691652745"
"1257",,,,"-0.24075711","-0.16618632","-0.08522376",,,,,
"1258",,,,,,,,,,,"3.253580034486049"
"1263","-0.25857377","0.61291564","9.126697",,,,,,,,
"1263",,,,"-0.24608359","-0.21732058","-0.12144385",,,,,
"1264",,,,,,,,,,,"3.2789761719240005"
"1267",,,,"-0.25567126","-0.25886714","-0.13529271",,,,,
"1268",,,,,,,,,,,"3.311240491459273"
"1273","-0.18195933","0.7278373","9.32781",,,,,,,,
"1273",,,,"-0.28123838","-0.26419365","-0.12677033",,,,,
"1274",,,,,,,,,,,"3.343410469006642"
"1275",,,,,,,"-10.3125","11.8125","7.0",,
"1277",,,,"-0.30467492","-0.26738954","-0.10866029",,,,,
"1278",,,,,,,,,,,"3.3686941217667368"
"1282","-0.50757074","0.4405331","9.672575",,,,,,,,
"1283",,,,"-0.30467492","-0.25780186","-0.06178722",,,,,
"1283",,,,,,,,,,,"3.383707517892617"
"1291",,,,"-0.28976077","-0.22584295","-0.018110048",,,,,
"1292",,,,,,,,,,,"3.3796373654775493"
"1293","-0.45968673","0.20111294","9.9790325",,,,,,,,
"1294",,,,,,,"-13.6875","10.0625","14.0625",,
"1294",,,,"-0.25034478","-0.18216577","0.022371236",,,,,
"1295",,,,,,,,,,,"3.3796373654775493"
"1297",,,,"-0.21305938","-0.13316211","0.059656627",,,,,
"1298",,,,,,,,,,,"3.3641851296974323"
"1302","-0.18195933","0.22984336","10.371682",,,,,,,,
"1302",,,,"-0.1747087","-0.09907261","0.088419646",,,,,
"1303",,,,,,,,,,,"3.3422171068925763"
"1306",,,,"-0.15127216","-0.057526033","0.1054644",,,,,
"1307",,,,,,,,,,,"3.31696013455894"
"1312","-0.06703765","0.41180268","10.084377",,,,,,,,
"1312",,,,"-0.13316211","-0.011718267","0.120378554",,,,,
"1313",,,,,,,,,,,"3.2886090865312667"
"1314",,,,,,,"-13.6875","9.6875","14.0",,
"1317",,,,"-0.11505207","0.05646074","0.13422741",,,,,
"1317",,,,,,,,,,,"3.260503071540086"
"1322","0.05746084","0.6799533","9.9790325",,,,,,,,
"1322",,,,"-0.10652969","0.116117366","0.12144385",,,,,
"1323",,,,,,,,,,,"3.2362535521090194"
"1326",,,,"-0.113986775","0.14488038","0.1043991",,,,,
"1327",,,,,,,,,,,"3.2156071709085268"
"1332","-0.11492168","0.80445176","9.720459",,,,,,,,
"1332",,,,"-0.13422741","0.14594568","0.09800732",,,,,
"1333",,,,,,,,,,,"3.201904103886193"
"1334",,,,,,,"-13.8125","10.0","14.0",,
"1336",,,,"-0.15340276","0.14061919","0.09587672",,,,,
"1336",,,,,,,,,,,"3.1880390333144533"
"1341","-0.11492168","0.6607997","9.586384",,,,,,,,
"1341",,,,"-0.16512102","0.1395539","0.088419646",,,,,
"1342",,,,,,,,,,,"3.1778558615922066"
"1346",,,,"-0.1725781","0.1395539","0.08415846",,,,,
"1347",,,,,,,,,,,"3.1708967526016067"
"1352","-0.1340753","0.6991069","9.548077",,,,,,,,
"1353",,,,"-0.16725162","0.122509144","0.08096257",,,,,
"1354",,,,,,,,,,,"3.1673599952720224"
"1355",,,,,,,"-12.1875","10.75","10.625",,
"1356",,,,"-0.15446806","0.09907261","0.08415846",,,,,
"1357",,,,,,,,,,,"3.1637399950118947"
"1362","-0.12449849","0.7469909","9.461885",,,,,,,,
"1363",,,,"-0.13103153","0.0692443","0.09055024",,,,,
"1363",,,,,,,,,,,"3.1600423013500176"
"1367",,,,"-0.10866029","0.036220096","0.09907261",,,,,
"1369",,,,,,,,,,,"3.1527307972868925"
"1371","0.009576807","0.8523358","9.500193",,,,,,,,
"1376",,,,"-0.08096257","0.0010652969","0.10652969",,,,,
"1377",,,,,,,,,,,"3.1382702195969046"
"1378",,,,,,,"-13.8125","10.0","14.125",,
"1379",,,,"-0.057526033","-0.039415985","0.11292148",,,,,
"1380",,,,,,,,,,,"3.1342527877044972"
"1381","0.21068975","0.92895025","9.672575",,,,,,,,
"1382",,,,"-0.03728539","-0.0692443","0.116117366",,,,,
"1383",,,,,,,,,,,"3.1342527877044972"
"1386",,,,"-0.022371236","-0.09055024","0.113986775",,,,,
"1387",,,,,,,,,,,"3.1268243166518914"
"1391","0.35434186","1.0726024","9.701305",,,,,,,,
"1391",,,,"-0.0074570784","-0.091615535","0.10972559",,,,,
"1392",,,,,,,,,,,"3.126632644468316"
"1393",,,,,,,"-13.8125","9.875","14.125",,
"1396",,,,"0.0021305939","-0.09055024","0.094811425",,,,,
"1397",,,,,,,,,,,"3.1297000397358374"
"1401","0.41180268","1.1492168","9.873688",,,,,,,,
"1402",,,,"0.01065297","-0.09374613","0.07350549",,,,,
"1402",,,,,,,,,,,"3.143270131512793"
"1406",,,,"0.017044751","-0.09694202","0.05113425",,,,,
"1407",,,,,,,,,,,"3.1605227624694407"
"1411","0.45010993","1.1971009","9.883265",,,,,,,,
"1412",,,,"0.02130594","-0.09694202","0.022371236",,,,,
"1413",,,,,,,,,,,"3.1880853505347773"
"1414",,,,,,,"-13.6875","9.8125","14.3125",,
"1416",,,,"0.02769772","-0.09374613","-0.0074570784",,,,,
"1417",,,,,,,,,,,"3.2262357990306896"
"1421","0.48841715","1.1971009","9.921572",,,,,,,,
"1421",,,,"0.033024207","-0.08096257","-0.039415985",,,,,
"1421",,,,,,,,,,,"3.2752707942992743"
"1425",,,,"0.043677174","-0.06285252","-0.0692443",,,,,
"1426",,,,,,,,,,,"3.3344616405334477"
"1431","0.39264908","1.1587936","9.911995",,,,,,,,
"1431",,,,"0.050068956","-0.04261188","-0.09907261",,,,,
"1432",,,,,,,,,,,"3.401095898859012"
"1433",,,,,,,"-13.6875","9.625","14.4375",,
"1435",,,,"0.053264845","-0.022371236","-0.12570503",,,,,
"1436",,,,,,,,,,,"3.477978429147413"
"1441","0.22984336","1.1109096","9.835381",,,,,,,,
"1441",,,,"0.05219955","-0.0074570784","-0.15553336",,,,,
"1442",,,,,,,,,,,"3.5656833941756645"
"1446",,,,"0.04793836","0.0","-0.18110047",,,,,
"1446",,,,,,,,,,,"3.6601818361071423"
"1451","0.16280572","1.0151415","9.758766",,,,,,,,
"1451",,,,"0.050068956","0.0042611877","-0.20240642",,,,,
"1452",,,,,,,,,,,"3.7619307372859794"
"1453",,,,,,,"-13.5","9.6875","14.6875",,
"1455",,,,"0.054330144","0.01065297","-0.21732058",,,,,
"1456",,,,,,,,,,,"3.8670366764418986"
"1460","0.06703765","0.90979666","9.634268",,,,,,,,
"1461",,,,"0.06178722","0.02130594","-0.22690825",,,,,
"1462",,,,,,,,,,,"3.9759436158709036"
"1465",,,,"0.06285252","0.036220096","-0.22797355",,,,,
"1466",,,,,,,,,,,"4.088056475341602"
"1471","-0.047884032","0.79487497","9.682152",,,,,,,,
"1471",,,,"0.063917816","0.044742472","-0.22797355",,,,,
"1472",,,,,,,,,,,"4.200605613145569"
"1473",,,,,,,"-13.4375","9.9375","14.8125",,
"1475",,,,"0.06285252","0.04900366","-0.22264706",,,,,
"1476",,,,,,,,,,,"4.309411807284334"
"1480","-0.1340753","0.6991069","9.56723",,,,,,,,
"1481",,,,"0.06178722","0.053264845","-0.21625528",,,,,
"1481",,,,,,,,,,,"4.421999791789176"
"1485",,,,"0.06604841","0.05646074","-0.2066676",,,,,
"1486",,,,,,,,,,,"4.530749209980456"
"1490","-0.16280572","0.6607997","9.528923",,,,,,,,
"1491",,,,"0.0692443","0.060721926","-0.19494934",,,,,
"1492",,,,,,,,,,,"4.6364600477647855"
"1493",,,,,,,"-13.4375","9.8125","15.0",,
"1495",,,,"0.07883197","0.064983115","-0.18323107",,,,,
"1496",,,,,,,,,,,"4.738258467815115"
"1500","-0.24899697","0.60333884","9.442732",,,,,,,,
"1501",,,,"0.08202787","0.068179004","-0.16938221",,,,,
"1502",,,,,,,,,,,"4.837096427747099"
"1505",,,,"0.08628905","0.07244019","-0.15233746",,,,,
"1506",,,,,,,,,,,"4.9358118711608086"
