"Time","Accel_x","Accel_y","Accel_z","Gyro_x","Gyro_y","Gyro_z","Mag_x","Mag_y","Mag_z","Light","Compass"
"0",,,,,,,,,,"253.0",
"5",,,,"0.0","0.0","0.0",,,,,
"6",,,,,,,,,,,"183.60055653277257"
"10","-0.10534488","0.61291564","9.308656",,,,,,,,
"10",,,,"0.0","0.0","0.0",,,,,
"12",,,,,,,,,,,"183.6358822711599"
"14",,,,"0.0","0.0","0.0",,,,,
"15",,,,,,,,,,,"183.66706891491015"
"20","-0.047884032","0.6703765","9.3182335",,,,,,,,
"21",,,,,,,"2.9375","-7.625","-15.5",,
"21",,,,"0.0","0.0","0.0",,,,,
"21",,,,,,,,,,,"183.70273616275597"
"25",,,,"0.0","0.0","0.0",,,,,
"25",,,,,,,,,,,"183.7380755615216"
"30","-0.019153614","0.7086837","9.394848",,,,,,,,
"30",,,,"0.0042611877","-0.0074570784","0.01065297",,,,,
"31",,,,,,,,,,,"183.7657514880385"
"34",,,,"0.017044751","-0.1747087","0.21412468",,,,,
"35",,,,,,,,,,,"183.7416955617817"
"39","0.06703765","0.7374141","9.557653",,,,,,,,
"40",,,,"-0.14701098","0.012783563","-0.039415985",,,,,
"41",,,,,,,,,,,"183.78245813074835"
"41",,,,,,,"-1.8125","3.9375","-11.625",,
"44",,,,"-0.15020686","0.020240642","-0.046873067",,,,,
"45",,,,,,,,,,,"183.82935420958967"
"49","0.12449849","0.6895301","9.80665",,,,,,,,
"49",,,,"-0.14381509","0.023436533","-0.05646074",,,,,
"50",,,,,,,,,,,"183.87720651491477"
"58",,,,"-0.13529271","0.018110048","-0.060721926",,,,,
"59",,,,,,,,,,,"183.9757798050164"
"59","0.17238252","0.49799395","10.132261",,,,,,,,
"60",,,,"-0.120378554","0.023436533","-0.064983115",,,,,
"60",,,,,,,,,,,"183.9757798050164"
"61",,,,,,,"-6.25","15.625","-7.3125",,
"64",,,,"-0.070309594","0.05539544","-0.070309594",,,,,
"65",,,,,,,,,,,"184.02809905405869"
"69","0.20111294","0.79487497","9.931149",,,,,,,,
"70",,,,"-0.039415985","0.057526033","-0.09055024",,,,,
"70",,,,,,,,,,,"184.0877949074046"
"74",,,,"-0.033024207","0.036220096","-0.07563608",,,,,
"74",,,,,,,,,,,"184.14635694934827"
"79","-0.047884032","0.47884035","9.749189",,,,,,,,
"80",,,,"-0.03835069","0.022371236","-0.050068956",,,,,
"80",,,,,,,,,,,"184.19522012267055"
"81",,,,,,,"-4.0625","10.125","-9.75",,
"84",,,,"-0.046873067","0.029828314","-0.04261188",,,,,
"84",,,,,,,,,,,"184.24099605048798"
"89","-0.15322891","0.50757074","9.787497",,,,,,,,
"89",,,,"-0.053264845","0.029828314","-0.03835069",,,,,
"90",,,,,,,,,,,"184.2854742423631"
"94",,,,"-0.045807768","0.028763017","-0.02130594",,,,,
"95",,,,,,,,,,,"184.32723401894856"
"99","-0.23942018","0.37349546","9.950302",,,,,,,,
"99",,,,"-0.04793836","0.058591332","-0.0042611877",,,,,
"100",,,,,,,,,,,"184.36214994598566"
"101",,,,,,,"-6.0625","15.875","-8.0625",,
"104",,,,"-0.053264845","0.092680834","0.01384886",,,,,
"105",,,,,,,,,,,"184.39262625006228"
"109","-0.24899697","0.29688102","9.892841",,,,,,,,
"109",,,,"-0.054330144","0.122509144","0.029828314",,,,,
"110",,,,,,,,,,,"184.42078028982107"
"113",,,,"-0.05219955","0.14594568","0.039415985",,,,,
"114",,,,,,,,,,,"184.44478157456447"
"119","-0.2777274","0.37349546","9.701305",,,,,,,,
"119",,,,"-0.054330144","0.15233746","0.04154658",,,,,
"120",,,,,,,,,,,"184.4690150857397"
"121",,,,,,,"-6.0","16.375","-8.1875",,
"123",,,,"-0.053264845","0.14488038","0.053264845",,,,,
"124",,,,,,,,,,,"184.48950565324972"
"128","-0.34476504","0.38307226","9.634268",,,,,,,,
"129",,,,"-0.046873067","0.12677033","0.059656627",,,,,
"129",,,,,,,,,,,"184.51081584346016"
"133",,,,"-0.034089502","0.1022685","0.0692443",,,,,
"134",,,,,,,,,,,"184.52798693903358"
"139","-0.30645782","0.45010993","9.548077",,,,,,,,
"139",,,,"-0.02130594","0.07670138","0.08202787",,,,,
"140",,,,,,,,,,,"184.54573177049727"
"141",,,,,,,"-6.0625","16.3125","-8.125",,
"143",,,,"-0.0074570784","0.054330144","0.09055024",,,,,
"144",,,,,,,,,,,"184.55947411110733"
"149","-0.30645782","0.5554548","9.490616",,,,,,,,
"149",,,,"0.0","0.026632423","0.092680834",,,,,
"150",,,,,,,,,,,"184.57783365959634"
"153",,,,"0.0031958907","0.0021305939","0.09587672",,,,,
"154",,,,,,,,,,,"184.5951003778181"
"159","-0.22026655","0.6512229","9.442732",,,,,,,,
"159",,,,"0.0042611877","-0.0085223755","0.10013791",,,,,
"160",,,,,,,,,,,"184.617271171864"
"160",,,,,,,"-5.125","13.1875","-8.8125",,
"163",,,,"0.0021305939","-0.014914157","0.09694202",,,,,
"164",,,,,,,,,,,"184.6445782681657"
"168","-0.1436521","0.6703765","9.5385",,,,,,,,
"169",,,,"0.0","-0.012783563","0.094811425",,,,,
"169",,,,,,,,,,,"184.67995864806636"
"174",,,,"-0.0010652969","-0.0085223755","0.09587672",,,,,
"175",,,,,,,,,,,"184.73244182164873"
"179","-0.1436521","0.6895301","9.615114",,,,,,,,
"179",,,,"-0.0021305939","0.0010652969","0.09694202",,,,,
"180",,,,,,,,,,,"184.82725850770686"
"180",,,,,,,"-6.375","16.1875","-7.75",,
"183",,,,"-0.0085223755","0.01065297","0.09587672",,,,,
"184",,,,,,,,,,,"185.0132445588063"
"188","-0.18195933","0.6799533","9.586384",,,,,,,,
"189",,,,"-0.01384886","0.023436533","0.09587672",,,,,
"189",,,,,,,,,,,"185.21264510143567"
"193",,,,"-0.019175345","0.02769772","0.092680834",,,,,
"194",,,,,,,,,,,"185.4159661726486"
"198","-0.11492168","0.7374141","9.519346",,,,,,,,
"199",,,,"-0.026632423","0.036220096","0.09055024",,,,,
"199",,,,,,,,,,,"185.16001166369153"
"200",,,,,,,"-6.5625","16.375","-7.875",,
"203",,,,"-0.031958908","0.045807768","0.08415846",,,,,
"204",,,,,,,,,,,"184.9076088531029"
"208","-0.047884032","0.7182605","9.519346",,,,,,,,
"209",,,,"-0.039415985","0.063917816","0.07670138",,,,,
"209",,,,,,,,,,,"184.6549874764608"
"213",,,,"-0.04793836","0.08628905","0.0692443",,,,,
"214",,,,,,,,,,,"184.40606806234885"
"218","-0.10534488","0.7278373","9.461885",,,,,,,,
"218",,,,"-0.05539544","0.1033338","0.06285252",,,,,
"219",,,,,,,,,,,"184.15667053499502"
"222",,,,,,,"-6.5","16.25","-7.8125",,
"223",,,,"-0.063917816","0.10759499","0.057526033",,,,,
"224",,,,,,,,,,,"183.91096130979295"
"228","-0.1436521","0.63206923","9.385271",,,,,,,,
"229",,,,"-0.06285252","0.10866029","0.059656627",,,,,
"229",,,,,,,,,,,"183.6652111034559"
"233",,,,"-0.059656627","0.1043991","0.060721926",,,,,
"233",,,,,,,,,,,"183.41973410468566"
"238","-0.17238252","0.641646","9.356541",,,,,,,,
"238",,,,"-0.054330144","0.07989727","0.063917816",,,,,
"238",,,,,,,,,,,"183.17058246414192"
"239",,,,,,,"-6.5","16.125","-7.75",,
"243",,,,"-0.044742472","0.044742472","0.06604841",,,,,
"243",,,,,,,,,,,"182.9215947481383"
"247","-0.1436521","0.5554548","9.346964",,,,,,,,
"248",,,,"-0.028763017","0.0074570784","0.068179004",,,,,
"248",,,,,,,,,,,"182.6764865795832"
"253",,,,"-0.011718267","-0.029828314","0.07350549",,,,,
"254",,,,,,,,,,,"182.42779939190305"
"258","-0.10534488","0.48841715","9.490616",,,,,,,,
"258",,,,"0.0021305939","-0.057526033","0.07883197",,,,,
"259",,,,,,,,,,,"182.1757790719079"
"259",,,,,,,"-6.625","16.1875","-7.6875",,
"262",,,,"0.014914157","-0.0692443","0.08415846",,,,,
"262",,,,,,,,,,,"181.924250525533"
"268","-0.019153614","0.51714754","9.442732",,,,,,,,
"268",,,,"0.018110048","-0.07457078","0.092680834",,,,,
"269",,,,,,,,,,,"181.67266733764478"
"274",,,,"0.01384886","-0.07137489","0.09587672",,,,,
"274",,,,,,,,,,,"181.41728656457798"
"278","0.047884032","0.5650316","9.509769",,,,,,,,
"278",,,,"-0.0010652969","-0.05539544","0.09800732",,,,,
"279",,,,,,,,,,,"181.16537552760957"
"280",,,,,,,"-6.75","15.9375","-7.625",,
"283",,,,"-0.014914157","-0.034089502","0.09907261",,,,,
"283",,,,,,,,,,,"180.9100630564345"
"288","0.076614454","0.49799395","9.576807",,,,,,,,
"288",,,,"-0.02769772","-0.01384886","0.09800732",,,,,
"289",,,,,,,,,,,"180.65435443428757"
"292",,,,"-0.034089502","0.0010652969","0.091615535",,,,,
"293",,,,,,,,,,,"180.398700453654"
"297","0.12449849","0.51714754","9.672575",,,,,,,,
"297",,,,"-0.034089502","0.020240642","0.08522376",,,,,
"298",,,,,,,,,,,"180.15002692635215"
"299",,,,,,,"-6.5625","16.0","-7.6875",,
"302",,,,"-0.03089361","0.031958908","0.08202787",,,,,
"303",,,,,,,,,,,"179.90134975658464"
"307","0.08619126","0.48841715","9.653421",,,,,,,,
"308",,,,"-0.029828314","0.03728539","0.07883197",,,,,
"309",,,,,,,,,,,"179.65270355003952"
"312",,,,"-0.029828314","0.044742472","0.07670138",,,,,
"313",,,,,,,,,,,"179.40401636235936"
"317","0.06703765","0.5363012","9.528923",,,,,,,,
"318",,,,"-0.03835069","0.046873067","0.07563608",,,,,
"318",,,,,,,,,,,"179.1553974765709"
"319",,,,,,,"-6.375","15.8125","-7.5625",,
"323",,,,"-0.05113425","0.05219955","0.0692443",,,,,
"323",,,,,,,,,,,"178.90990681742232"
"327","0.095768064","0.5746084","9.509769",,,,,,,,
"327",,,,"-0.059656627","0.05539544","0.06285252",,,,,
"328",,,,,,,,,,,"178.66441615827375"
